Player,Season,Tm,Pos,Age,G,GS,Tgt,Rec,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,Int,Fumbles,FumblesLost,PPR,Rank,Avg Pick,rookie_season,No.,Round,Pick,College,current_yr,FPPG
Demaryius Thomas,2013,DEN,WR,26,16,16,142.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,1430.0,14.0,0.0,1.0,0.0,319.0,22,25.49,2010.0,1,1,22,Georgia Tech,4.0,19.9375
Demaryius Thomas,2014,DEN,WR,27,16,16,184.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,1619.0,11.0,0.0,0.0,0.0,338.9,7,11.47,2010.0,1,1,22,Georgia Tech,5.0,21.18125
Demaryius Thomas,2015,DEN,WR,28,16,16,177.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,1304.0,6.0,0.0,2.0,2.0,267.4,9,15.58,2010.0,1,1,22,Georgia Tech,6.0,16.7125
Demaryius Thomas,2016,DEN,WR,29,16,16,144.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1083.0,5.0,0.0,2.0,2.0,224.3,29,31.3,2010.0,1,1,22,Georgia Tech,7.0,14.01875
Demaryius Thomas,2017,DEN,WR,30,16,16,140.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,949.0,5.0,0.0,1.0,1.0,205.9,31,32.47,2010.0,1,1,22,Georgia Tech,8.0,12.86875
Demaryius Thomas,2019,NYJ,WR,32,11,10,58.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,433.0,1.0,0.0,0.0,0.0,85.30000000000001,342,169.24,2010.0,1,1,22,Georgia Tech,10.0,7.754545454545456
Calvin Johnson,2013,DET,WR,28,14,14,156.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,1492.0,12.0,0.0,1.0,1.0,303.20000000000005,4,8.6,2007.0,1,1,2,Georgia Tech,7.0,21.657142857142862
Calvin Johnson,2014,DET,WR,29,13,13,128.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,1077.0,8.0,0.0,0.0,0.0,226.7,3,7.19,2007.0,1,1,2,Georgia Tech,8.0,17.43846153846154
Calvin Johnson,2015,DET,WR,30,16,16,149.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,1214.0,9.0,0.0,1.0,1.0,261.4,11,17.57,2007.0,1,1,2,Georgia Tech,9.0,16.3375
A.J. Green,2013,CIN,WR,25,16,16,178.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,1426.0,11.0,0.0,1.0,0.0,306.6,13,17.41,2011.0,1,1,4,Georgia,3.0,19.1625
A.J. Green,2014,CIN,WR,26,13,13,117.0,69.0,0.0,0.0,0.0,2.0,0.0,2.0,1041.0,6.0,0.0,3.0,2.0,205.3,9,13.9,2011.0,1,1,4,Georgia,4.0,15.792307692307693
A.J. Green,2015,CIN,WR,27,16,16,132.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,1297.0,10.0,0.0,1.0,1.0,273.70000000000005,14,21.05,2011.0,1,1,4,Georgia,5.0,17.106250000000003
A.J. Green,2016,CIN,WR,28,10,10,100.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,964.0,4.0,0.0,0.0,0.0,186.4,4,9.49,2011.0,1,1,4,Georgia,6.0,18.64
