Rank,Player,Avg Pick,Pos,Tm,Season
1,Christian McCaffrey,3.79,RB,SFO,2023
2,Ja'Marr Chase,4.47,WR,CIN,2023
3,Austin Ekeler,5.71,RB,LAC,2023
4,Tyreek Hill,7.33,WR,MIA,2023
5,Bijan Robinson,8.24,RB,ATL,2023
6,Travis Kelce,8.58,TE,KCC,2023
7,Stefon Diggs,11.12,WR,BUF,2023
8,Saquon Barkley,11.2,RB,NYG,2023
9,CeeDee Lamb,13.03,WR,DAL,2023
10,Patrick Mahomes,13.94,QB,KCC,2023
11,Cooper Kupp,13.99,WR,LAR,2023
12,Derrick Henry,15.4,RB,TEN,2023
13,Davante Adams,16.19,WR,LVR,2023
14,A.J. Brown,16.59,WR,PHI,2023
15,Josh Allen,16.6,QB,BUF,2023
16,Tony Pollard,16.88,RB,DAL,2023
17,Amon-Ra St. Brown,17.14,WR,DET,2023
18,Jalen Hurts,18.5,QB,PHI,2023
19,Josh Jacobs,19.03,RB,LVR,2023
20,Garrett Wilson,19.52,WR,NYJ,2023
21,Jaylen Waddle,23.76,WR,MIA,2023
22,Jahmyr Gibbs,24.08,RB,DET,2023
23,Joe Mixon,26.78,RB,CIN,2023
24,Chris Olave,27.9,WR,NOS,2023
25,Najee Harris,28.88,RB,PIT,2023
26,Calvin Ridley,29.03,WR,JAC,2023
27,DeVonta Smith,29.6,WR,PHI,2023
28,DK Metcalf,29.76,WR,SEA,2023
29,Lamar Jackson,30.66,QB,BAL,2023
30,Rhamondre Stevenson,32.01,RB,NEP,2023
31,Tee Higgins,32.11,WR,CIN,2023
32,Mark Andrews,32.93,TE,BAL,2023
33,Deebo Samuel,33.09,WR,SFO,2023
34,Joe Burrow,33.59,QB,CIN,2023
35,Keenan Allen,33.91,WR,LAC,2023
36,Travis Etienne,34.68,RB,JAC,2023
37,Aaron Jones,34.71,RB,GBP,2023
38,Justin Herbert,37.27,QB,LAC,2023
39,Amari Cooper,40.43,WR,CLE,2023
40,Kenneth Walker III,40.54,RB,SEA,2023
41,Justin Fields,43.33,QB,CHI,2023
42,Christian Watson,45.38,WR,GBP,2023
43,Breece Hall,46.39,RB,NYJ,2023
44,DeAndre Hopkins,47.59,WR,TEN,2023
45,Dameon Pierce,48.95,RB,HOU,2023
46,T.J. Hockenson,49.06,TE,MIN,2023
47,D.J. Moore,50.03,WR,CHI,2023
48,Jonathan Taylor,50.17,RB,IND,2023
49,Trevor Lawrence,51.18,QB,JAC,2023
50,George Kittle,52.31,TE,SFO,2023
51,Chris Godwin,52.88,WR,TBB,2023
52,Alexander Mattison,53.76,RB,MIN,2023
53,James Conner,54.84,RB,ARI,2023
54,Drake London,57.26,WR,ATL,2023
55,Javonte Williams,57.99,RB,DEN,2023
56,Miles Sanders,58.08,RB,CAR,2023
57,Rachaad White,59.3,RB,TBB,2023
58,Tyler Lockett,60.51,WR,SEA,2023
59,Terry McLaurin,61.18,WR,WAS,2023
60,Mike Evans,61.28,WR,TBB,2023
61,Christian Kirk,62.19,WR,JAC,2023
62,Brandon Aiyuk,62.39,WR,SFO,2023
63,Diontae Johnson,62.92,WR,PIT,2023
64,James Cook,64.62,RB,BUF,2023
65,Dallas Goedert,64.76,TE,PHI,2023
66,Alvin Kamara,64.78,RB,NOS,2023
67,Dalvin Cook,65.9,RB,NYJ,2023
68,Kyle Pitts,68.55,TE,ATL,2023
69,Michael Pittman,70.3,WR,IND,2023
70,David Montgomery,70.49,RB,DET,2023
71,D'Andre Swift,71.12,RB,PHI,2023
72,George Pickens,71.21,WR,PIT,2023
73,Isiah Pacheco,71.25,RB,KCC,2023
74,Foyesade Oluokun,72.0,LB,JAC,2023
75,Will Anderson,73.14,DE,HOU,2023
76,Jordan Addison,73.18,WR,MIN,2023
77,Jerry Jeudy,73.91,WR,DEN,2023
78,Roquan Smith,74.81,LB,BAL,2023
79,Khalil Herbert,75.76,RB,CHI,2023
80,Jack Campbell,76.66,LB,DET,2023
81,Jaxon Smith-Njigba,78.69,WR,SEA,2023
82,Jahan Dotson,78.96,WR,WAS,2023
83,Zay Flowers,79.6,WR,BAL,2023
84,Dak Prescott,80.26,QB,DAL,2023
85,Micah Parsons,80.43,DE,DAL,2023
86,Evan Engram,81.47,TE,JAC,2023
87,Marquise Brown,83.22,WR,ARI,2023
