rookie_season,No.,Round,Pick,Player,College,Pos
2023,1,1,20,Jaxon Smith-Njigba,Ohio State,WR
2023,2,1,21,Quentin Johnston,Texas Christian,WR
2023,3,1,22,Zay Flowers,Boston College,WR
2023,4,1,23,Jordan Addison,USC,WR
2023,5,2,8,Jonathan Mingo,Mississippi,WR
2023,6,2,19,Jayden Reed,Michigan State,WR
2023,7,2,24,Rashee Rice,Southern Methodist,WR
2023,8,2,32,Marvin Mims,Oklahoma,WR
2023,9,3,6,Nathaniel Dell,Houston,WR
2023,10,3,10,Jalin Hyatt,Tennessee,WR
2023,11,3,11,Cedric Tillman,Tennessee,WR
2023,12,3,16,Josh Downs,North Carolina,WR
2023,13,3,31,Michael Wilson,Stanford,WR
2023,14,3,37,Tre Tucker,Cincinnati,WR
2023,15,4,23,Derius Davis,Texas Christian,WR
2023,16,4,29,Charlie Jones,Purdue,WR
2023,17,4,31,Tyler Scott,Cincinnati,WR
2023,18,5,15,Justin Shorter,Florida,WR
2023,19,5,24,Dontayvion Wicks,Virginia,WR
2023,20,5,42,Puka Nacua,Brigham Young,WR
2023,21,6,8,Parker Washington,Penn State,WR
2023,22,6,10,Kayshon Boutte,Louisiana State,WR
2023,23,6,14,Trey Palmer,Nebraska,WR
2023,24,6,18,A.T. Perry,Wake Forest,WR
2023,25,6,28,Xavier Hutchinson,Iowa State,WR
2023,26,6,29,Andrei Iosivas,Princeton,WR
2023,27,6,33,Demario Douglas,Liberty,WR
2023,28,7,2,Antoine Green,North Carolina,WR
2023,29,7,11,Cotton Dowell,Tennessee-Martin,WR
2023,30,7,27,Jalen Brooks,South Carolina,WR
2023,31,7,36,Ronnie Bell,Michigan,WR
2023,32,7,39,Grant DuBose,Charlotte,WR
2022,1,1,8,Drake London,USC,WR
2022,2,1,10,Garrett Wilson,Ohio State,WR
2022,3,1,11,Chris Olave,Ohio State,WR
2022,4,1,12,Jameson Williams,Alabama,WR
2022,5,1,16,Jahan Dotson,Penn State,WR
2022,6,1,18,Treylon Burks,Arkansas,WR
2022,7,2,2,Christian Watson,North Dakota State,WR
2022,8,2,11,Wan'Dale Robinson,Kentucky,WR
2022,9,2,12,John Metchie,Alabama,WR
2022,10,2,18,Tyquan Thornton,Baylor,WR
2022,11,2,20,George Pickens,Georgia,WR
2022,12,2,21,Alec Pierce,Cincinnati,WR
2022,13,2,22,Skyy Moore,Western Michigan,WR
2022,14,3,7,Velus Jones,Tennessee,WR
