Rank,Player,Avg Pick,Pos,Tm,Season
1,Jonathan Taylor,1.33,RB,IND,2022
2,Christian McCaffrey,3.03,RB,SFO,2022
3,Austin Ekeler,4.33,RB,LAC,2022
4,Cooper Kupp,5.16,WR,LAR,2022
5,Derrick Henry,5.70,RB,TEN,2022
6,Justin Jefferson,6.10,WR,MIN,2022
7,Dalvin Cook,7.04,RB,MIN,2022
8,Najee Harris,8.84,RB,PIT,2022
9,Ja'Marr Chase,9.81,WR,CIN,2022
10,Joe Mixon,11.15,RB,CIN,2022
11,Davante Adams,12.21,WR,LVR,2022
12,Alvin Kamara,14.04,RB,NOS,2022
13,Stefon Diggs,14.84,WR,BUF,2022
14,D'Andre Swift,15.44,RB,DET,2022
15,Travis Kelce,16.70,TE,KCC,2022
16,Nick Chubb,16.73,RB,CLE,2022
17,Saquon Barkley,17.32,RB,NYG,2022
18,Aaron Jones,18.71,RB,GBP,2022
19,CeeDee Lamb,20.16,WR,DAL,2022
20,Deebo Samuel,20.20,WR,SFO,2022
21,Josh Allen,21.02,QB,BUF,2022
22,Tyreek Hill,21.69,WR,MIA,2022
23,Leonard Fournette,22.36,RB,TBB,2022
24,Javonte Williams,23.68,RB,DEN,2022
25,Mark Andrews,24.90,TE,BAL,2022
26,Mike Evans,26.48,WR,TBB,2022
27,Keenan Allen,26.58,WR,LAC,2022
28,James Conner,27.22,RB,ARI,2022
29,Ezekiel Elliott,29.64,RB,DAL,2022
30,Michael Pittman,30.34,WR,IND,2022
31,Patrick Mahomes,31.25,QB,KCC,2022
32,A.J. Brown,32.00,WR,PHI,2022
33,Justin Herbert,34.53,QB,LAC,2022
34,Kyle Pitts,35.01,TE,ATL,2022
35,Tee Higgins,35.73,WR,CIN,2022
36,Travis Etienne,37.75,RB,JAC,2022
37,Cam Akers,38.22,RB,LAR,2022
38,David Montgomery,38.30,RB,CHI,2022
39,D.J. Moore,39.19,WR,CAR,2022
40,Mike Williams,44.12,WR,LAC,2022
41,Diontae Johnson,44.30,WR,PIT,2022
42,Courtland Sutton,44.68,WR,DEN,2022
43,Lamar Jackson,45.21,QB,BAL,2022
44,Breece Hall,45.64,RB,NYJ,2022
45,Josh Jacobs,46.06,RB,LVR,2022
46,Terry McLaurin,47.23,WR,WAS,2022
47,DK Metcalf,48.28,WR,SEA,2022
48,George Kittle,49.21,TE,SFO,2022
49,Jaylen Waddle,49.85,WR,MIA,2022
50,Brandin Cooks,50.53,WR,HOU,2022
51,Darren Waller,50.62,TE,LVR,2022
52,Amon-Ra St. Brown,50.95,WR,DET,2022
53,Allen Robinson,53.34,WR,LAR,2022
54,Kyler Murray,54.00,QB,ARI,2022
55,Adam Thielen,55.44,WR,MIN,2022
56,JuJu Smith-Schuster,55.94,WR,KCC,2022
57,Elijah Mitchell,56.79,RB,SFO,2022
58,Michael Thomas,57.95,WR,NOS,2022
59,Gabriel Davis,57.97,WR,BUF,2022
60,Chris Godwin,58.49,WR,TBB,2022
61,Jalen Hurts,58.82,QB,PHI,2022
62,J.K. Dobbins,58.98,RB,BAL,2022
63,Joe Burrow,60.62,QB,CIN,2022
64,AJ Dillon,61.48,RB,GBP,2022
65,Dameon Pierce,62.22,RB,HOU,2022
66,Clyde Edwards-Helaire,62.42,RB,KCC,2022
67,Antonio Gibson,62.49,RB,WAS,2022
68,Marquise Brown,63.62,WR,ARI,2022
69,Dalton Schultz,64.00,TE,DAL,2022
70,Darnell Mooney,64.01,WR,CHI,2022
71,Jerry Jeudy,67.02,WR,DEN,2022
72,Tom Brady,68.25,QB,TBB,2022
73,Devin Singletary,69.19,RB,BUF,2022
74,Allen Lazard,69.35,WR,GBP,2022
75,Rashaad Penny,69.74,RB,SEA,2022
76,Russell Wilson,69.76,QB,DEN,2022
77,Amari Cooper,71.92,WR,CLE,2022
78,Chase Edmonds,73.99,RB,DEN,2022
79,Rashod Bateman,75.09,WR,BAL,2022
80,Aaron Rodgers,75.16,QB,GBP,2022
81,Dallas Goedert,75.16,TE,PHI,2022
82,Dak Prescott,76.51,QB,DAL,2022
83,Hunter Renfrow,77.25,WR,LVR,2022
84,T.J. Hockenson,78.42,TE,MIN,2022
85,Cordarrelle Patterson,79.87,RB,ATL,2022
86,Damien Harris,81.09,RB,NEP,2022
87,T.J. Watt,83.21,LB,PIT,2022
88,Tony Pollard,84.79,RB,DAL,2022
89,Miles Sanders,84.90,RB,PHI,2022
90,DeAndre Hopkins,86.29,WR,ARI,2022
91,Kareem Hunt,86.46,RB,CLE,2022
92,Rhamondre Stevenson,87.02,RB,NEP,2022
93,Drake London,87.07,WR,ATL,2022
94,Christian Kirk,88.90,WR,JAC,2022
95,Brandon Aiyuk,89.99,WR,SFO,2022
96,Micah Parsons,90.48,LB,DAL,2022
97,Tyler Lockett,90.79,WR,SEA,2022
98,Tyquan Thornton,91.51,WR,NEP,2022
99,Elijah Moore,92.08,WR,NYJ,2022
100,Aidan Hutchinson,92.13,DE,DET,2022
101,Matthew Stafford,92.85,QB,LAR,2022
102,Kenneth Walker III,93.25,RB,SEA,2022
103,Myles Garrett,94.08,DE,CLE,2022
104,Zach Ertz,94.65,TE,ARI,2022
105,Roquan Smith,94.81,LB,BAL,2022
106,Dawson Knox,94.95,TE,BUF,2022
107,Robert Woods,95.75,WR,TEN,2022
108,DeVonta Smith,96.02,WR,PHI,2022
109,Nick Bosa,96.48,DE,SFO,2022
110,Derek Carr,96.80,QB,LVR,2022
111,Trey Lance,98.20,QB,SFO,2022
112,Aaron Donald,98.36,DT,LAR,2022
113,James Cook,100.35,RB,BUF,2022
114,Chris Olave,100.64,WR,NOS,2022
115,Shaquille Leonard,100.66,LB,IND,2022
116,Bobby Wagner,101.06,LB,LAR,2022
117,Melvin Gordon,101.55,RB,KCC,2022
118,Jordyn Brooks,101.92,LB,SEA,2022
119,Devin Lloyd,101.94,LB,JAC,2022
120,Cade Otton,103.30,TE,TBB,2022
121,Travon Walker,103.58,DE,JAC,2022
122,Devin White,104.85,LB,TBB,2022
123,Greg Dulcich,105.00,TE,DEN,2022
124,Chase Claypool,105.46,WR,CHI,2022
125,Kirk Cousins,106.32,QB,MIN,2022
126,Jerome Ford,106.50,RB,CLE,2022
127,Jelani Woods,108.35,TE,IND,2022
128,Keaontay Ingram,108.45,RB,ARI,2022
129,George Pickens,108.65,WR,PIT,2022
130,Derwin LAC SJames,108.86,S,LAC,2022
131,"Bills, Buffalo BUF Def",109.49,Def,BUF,2022
132,Trey McBride,109.62,TE,ARI,2022
133,Quay Walker,110.62,LB,GBP,2022
134,Foyesade Oluokun,111.52,LB,JAC,2022
135,DeVante Parker,112.58,WR,NEP,2022
136,D.J. Chark,114.29,WR,DET,2022
137,C.J. Mosley,114.59,LB,NYJ,2022
138,Velus Jones,115.08,WR,CHI,2022
139,Pierre Strong Jr.,115.11,RB,NEP,2022
140,Cole Kmet,115.24,TE,CHI,2022
141,Treylon Burks,115.43,WR,TEN,2022
142,Kadarius Toney,115.72,WR,KCC,2022
143,Kyle BAL SHamilton,115.75,S,BAL,2022
144,Malik Willis,115.95,QB,TEN,2022
145,Skyy Moore,116.34,WR,KCC,2022
146,Fred Warner,116.59,LB,SFO,2022
147,Desmond Ridder,116.71,QB,ATL,2022
148,Pat Freiermuth,117.38,TE,PIT,2022
149,Khalil Shakir,117.93,WR,BUF,2022
150,James Robinson,118.08,RB,NYJ,2022
151,Eric Kendricks,118.71,LB,MIN,2022
152,Brian Robinson,119.78,RB,WAS,2022
153,De'Vondre Campbell,119.81,LB,GBP,2022
154,Nyheim Hines,120.27,RB,BUF,2022
155,Michael Carter,120.62,RB,NYJ,2022
156,Mike Gesicki,121.30,TE,MIA,2022
157,Darrell Henderson,122.07,RB,FA,2022
158,Lewis MIN SCine,123.92,S,MIN,2022
159,Alexander Mattison,124.99,RB,MIN,2022
160,Lavonte David,125.04,LB,TBB,2022
161,Antoine TBB SWinfield,125.06,S,TBB,2022
162,Ty Chandler,125.12,RB,MIN,2022
163,Justin Tucker,125.23,PK,BAL,2022
164,"Rams, Los Angeles LAR Def",125.63,Def,LAR,2022
165,Budda ARI SBaker,125.95,S,ARI,2022
166,Michael Gallup,125.96,WR,DAL,2022
167,Cameron Heyward,126.50,DT,PIT,2022
168,Cole Holcomb,126.52,LB,WAS,2022
169,Denzel Perryman,126.57,LB,LVR,2022
170,Garrett Wilson,126.62,WR,NYJ,2022
171,Rachaad White,127.26,RB,TBB,2022
172,Kyle Philips,127.68,WR,TEN,2022
173,Kenny Pickett,127.86,QB,PIT,2022
174,Tua Tagovailoa,127.87,QB,MIA,2022
175,Danny Gray,128.25,WR,SFO,2022
176,Tyler Boyd,128.63,WR,CIN,2022
177,Logan Wilson,128.76,LB,CIN,2022
178,Isiah Pacheco,129.15,RB,KCC,2022
179,Kyren Williams,129.29,RB,LAR,2022
180,Kenneth Gainwell,131.01,RB,PHI,2022
181,Marvin Jones,131.06,WR,JAC,2022
